firstpost_date	url	url_expansion_data_url	url_expansion_data_topsy_expanded_url	content	trackback_author_nick	trackback_author_name
1380265237	http://twitter.com/malinky2stoatir/status/383486315754311680	Not Available	Not Available	u'Ohhhh, noooooes! NOOOO!! The hell?!?! I swear I now have perma-wrinkles round my eyes &amp; forehead... #Broadchurch #Shocked #Disgusted #Angry'	malinky2stoatir	Malinky Stoatir
1322501337	http://twitter.com/nickwsmith/status/141206960530915329	Not Available	Not Available	u'Appalling racist woman on a London tram http://t.co/PIAFTiWS. On the plus side, perfect use case for @GetEmotio #shocked #disgusted #angry'	nickwsmith	Nick Smith
1318315034	http://twitter.com/kaylax91/status/123648332416552960	Not Available	Not Available	u'@Occupy_Boston I will be back tomorrow at 6pm. #disgusted #angry #bostonpd'	kaylax91	kayla lynn
1340767692	http://twitter.com/aliciagenevieve/status/217821608197365760	Not Available	Not Available	u'#disappointed #disgusted #angry #sad #raging #younameit'	aliciagenevieve	Alicia Genevieve
1372367003	http://twitter.com/kyleharesign/status/350358721731375104	Not Available	Not Available	u"Catching up on #pogdogs and can't believe how some ppl can treat dogs #disgusted #angry"	kyleharesign	Kyle Haresign
1377841265	http://twitter.com/naveed_shahzaib/status/373319442601484288	Not Available	Not Available	u'Someone raped a disabled girl. What the hell has the world come to, I know maybe and ending!! #disgusted #angry'	naveed_shahzaib	Shahzaib Naveed
1372266345	http://twitter.com/notmaxbade/status/349936530413981697	Not Available	Not Available	u'You think someone is a good friend and then they go out and destroy everything you tried to build. #disgusted #angry'	notmaxbade	Max Bade
1370478901	http://twitter.com/twix_18/status/342439449520652289	Not Available	Not Available	u"You shouldn't even be given the chance to live. #mad #disgusted #angry #sad"	twix0211	Cintya Lara
1369971227	http://twitter.com/cardsgirl13/status/340310108200378368	Not Available	Not Available	u'Send Boggs back down! He just lost the game for them! #disgusted #angry'	cardsgirl13	Kambrie Hartsell
1374458617	http://twitter.com/kristenrbailey3/status/359131585846575107	Not Available	Not Available	u"If it doesn't work the first time it will NEVER work anytime after that \U0001f612 #disgusted #angry"	kristenrbailey3	Kristennnn!(:
1370885496	http://twitter.com/megzi_d/status/344144831699894272	Not Available	Not Available	u'Honestly makes me sick to my stomach #disgusted #angry #done'	megzi_d	Megan Davies
1379458248	http://twitter.com/joesalamone43/status/380101558031376384	Not Available	Not Available	u'Its awesome when your the only one that cares about something. #disgusted #angry'	joesalamone43	Joe Salamone
1341128000	http://twitter.com/ashleycaves/status/219332846639255552	Not Available	Not Available	u"You're the most pathetic person I've ever met. Don't bother trying to talk to me tomorrow. #Disgusted #Angry #Annoyed"	ashleycaverss	Ashley Cavers 
