firstpost_date	url	url_expansion_data_url	url_expansion_data_topsy_expanded_url	content	trackback_author_nick	trackback_author_name
1348711408	http://twitter.com/wes_smith/status/251139965826785280	Not Available	Not Available	u"RT @larisbrkic: Still can't believe about that woman that lied about her cancer in Delran!! #disgusted #sad"	wes_smith	Wes Smith
1327212124	http://twitter.com/jessegarofalo/status/160965434177368066	Not Available	Not Available	u'@Mr_Naamani u give me no respect thats what u did #mean #rude #disappointed #disgusted #sad #funny'	jessegarofalo	Jesse Garofalo
1392028115	http://twitter.com/cat_gallagher/status/432823402320388096	Not Available	Not Available	u'\u201c@BelTel Businessman cuts head off bird, eats insides then jumps off cliff\nhttp://t.co/4GzM6wtx3w\u201d &lt; this is a joke right #disgusted #sad'	cat_gallagher	Cat Gallagher
1373774725	http://twitter.com/juliatheriveter/status/356263137718173696	Not Available	Not Available	u'@kabrian2013 whoever said black ppl were the ones who turned it into race should take a look at the whites on my TL #disgusted #sad'	juliatheriveter	Julia Fer
1365736770	http://twitter.com/chelseibarta/status/322549511920685056	Not Available	Not Available	u'@brikaylunde I saw someone saying something about that on Facebook and I was disgusted as well! #disgusted #sad #cantbelieveit'	chelseibarta	Chelsei Barta
1355515964	http://twitter.com/ra_ra_rachel24/status/279680340577112065	Not Available	Not Available	u'RT @DanaSchnicker: It honestly makes me sick to my stomach to think that people actually shot and killed little kids. #disgusted #sad #p ...'	ra_ra_rachel24	Raaaa
1355509545	http://twitter.com/jbakesmeacake/status/279653417796902912	Not Available	Not Available	u'RT @DanaSchnicker: It honestly makes me sick to my stomach to think that people actually shot and killed little kids. #disgusted #sad #p ...'	jbakesmeacake	PeeWee Baker
1352484836	http://twitter.com/mtgrove/status/266966868705824768	Not Available	Not Available	u'RT @MarkyMarc711: Any of my brothers and sisters as #sad and #disgusted as I am? #homeless #poor #starving #newyork #food #pol http://t. ...'	mtgrove	Marc T Grove
1391162475	http://twitter.com/adrianhansel/status/429192646910038016	Not Available	Not Available	u'RT @KaramoBrown: Am I the only one disgusted by the fact that #georgezimmerman has signed on to be in a "Celebrity" Boxing match. #Disguste\u2026'	adrianhansel	adrian hansel
1318573541	http://twitter.com/marcelgossett/status/124732588052058112	Not Available	Not Available	u'RT @melabbyx3: how could you take someone elses life? #disgusted #sad'	marcelgossett	Marcel Gossett
