firstpost_date	url	url_expansion_data_url	url_expansion_data_topsy_expanded_url	content	trackback_author_nick	trackback_author_name
1401062546	http://twitter.com/kaylaamazinxo/status/470716554506559488	Not Available	Not Available	u'I wish AT&amp;T would hurry up and fix this uverse outage. It has been down since 2...#disgusted'	kaylaamazinxo	Makayla
1401124438	http://twitter.com/kirstyyhunter/status/470976146105192449	Not Available	Not Available	u'This country is an absolute disgrace. UKIP are a bunch of glorified bigots. #disgusted'	kirstyyhunter	Kirstyyy...☮☯
1401187608	http://twitter.com/galleta123/status/471241103434592256	Not Available	Not Available	u'Have you ever gotten some news so bad .. That the bitch made you literally sick to your stomach ?! #DISGUSTED'	galleta123	c. gray
1400835420	http://twitter.com/aimeejarrold/status/469763915979956224	Not Available	Not Available	u"Do not go to @STKLondon their staff couldn't possibly be any ruder if they tried. Amazed how the manager didn't even care #disgusted #avoid"	aimeejarrold	Aimee Jarrold
1401134032	http://twitter.com/xodcr/status/471016389223141376	Not Available	Not Available	u'#YesAllWomen because no women should be afraid of being raped for what they are wearing or any other factor. #disgusted'	xodcr	Courtney Cooper ⛵️⚓️
1401230898	http://twitter.com/samanthaveth/status/471422671633133568	Not Available	Not Available	u'"Brb while I go throw up." #disgusted. @bunannie'	samanthaveth	Samantha
1400854082	http://twitter.com/smasden1/status/469842192949706752	Not Available	Not Available	u'Rob and Kristen both described as a revelation at Cannes! Proud of both of them. Why do YOU continually make it a competition? #disgusted'	smasden1	Sue Masden
1400880904	http://twitter.com/dezbeyondmartha/status/469954693234708480	Not Available	Not Available	u"#Ick. Bad ethics are just bad ethics. I can't believe that people actually believe some of this stuff is ethical and justifiable! #disgusted"	dezbeyondmartha	Desi
1400942420	http://twitter.com/brennanana13/status/470212709955682304	Not Available	Not Available	u"The church my mom goes to is so fuckin racist and they don't even see it. #Disgusted"	brennanana13	BrenNaNaNa
1401156037	http://twitter.com/windycity03/status/471108682554433536	Not Available	Not Available	u"I can't watch sports tonight!! #Blackhawks are sleeping. #Heat are hot again and I HATE James. #DISGUSTED @dariusrucker"	windycity03	WindyCity
1401080035	http://twitter.com/madyycarter/status/470789906231742464	Not Available	Not Available	u'#disgusted'	madyycarter	Mady Carter
1401159564	http://twitter.com/fullsanddoubles/status/471123477769228288	Not Available	Not Available	u"And y'all are supposed to be the role models in the cheer world... #disgusted"	fullsanddoubles	cheerleader
1400862478	http://twitter.com/connorb163/status/469877407932231680	Not Available	Not Available	u'Bit shite knowing that I have no football at the weekends. #NoBall #Disgusted'	connorb163	Connor Brown
1400806795	http://twitter.com/evachristine19/status/469643854568648704	Not Available	Not Available	u'The day my mom greets me at the door like she does my brother is the day I win the lottery. #disgusted \U0001f645'	evachristine19	E
1401145760	http://twitter.com/mehwish_1khan/status/471065578183348224	Not Available	Not Available	u'People are so insensitive in this world \U0001f622 #disgusted #bullying #coward #vulnerable #notrealmen http://t.co/t65CiCBMI8'	mehwish_1khan	Mehwish Khan
1400842420	http://twitter.com/ashleyyymaria/status/469793277982810112	Not Available	Not Available	u"@USAirways is the worst. Always running late, even the pilots are late! Can't even get a military member home on time. #disgusted #usairways"	ashleyyymaria	Ashley Maria
